I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Omicron1 Eridani,Beid,Eridanus,62.96641483,-6.837579552,4.46,4.357,4.026,3.428,3.25,3.214,0.103,0.331,0.178,0.036,10.76,81.92,11,4.1,37.31343284,0.445533526,F0III,1.95,,3.7,0.1,27,,6963,,$o^1$
Omicron2 Eridani A,Keid,Eridanus,63.81799886,-7.652871691,5.69,5.25,4.43,2.93,2.48,2.41,0.44,0.82,0.45,0.07,-2240.12,-3420.27,-42.269,0.0002,4.984547902,0.005714515,K0V,0.84,,0.81,,0.457,0.002,5300,,$o^2$
Omicron2 Eridani B,,Eridanus,63.840775,-7.658116667,9.147,9.83,9.53,9.849,9.986,9.861,-0.683,0.3,-0.137,0.125,-2228.3,-3377.1,-21,10,4.984547902,0.005714515,DA2.9,0.573,0.018,0.014,,0.013,,16500,,
Omicron2 Eridani C,,Eridanus,63.83974566,-7.655755038,13.68,12.85,11.17,6.747,6.28,5.962,0.83,1.68,0.467,0.318,-2250.118,-3408.28,-45,5,5.013657202,0.008053817,M4.5V,0.2036,0.0064,0.31,,0.008,,3100,,
Gamma Eridani,Zaurak,Eridanus,59.50736229,-13.50851938,6.52,4.54,2.94,0.07,-0.74,-0.93,1.98,1.6,0.81,0.19,61.57,-113.11,60.81,0.25,62.34413965,2.254339214,M0III,,,80,,1259,,3811,,$\gamma$
Pi Eridani,,Eridanus,56.53556914,-12.10158248,8.05,6.04,4.42,1.36,0.47,0.29,2.01,1.62,0.89,0.18,54.879,57.966,45.2,0.1,124.3054433,4.019024427,M1III,,,77,,1123,,3841,,$\pi$
Delta Eridani,,Eridanus,55.81208699,-9.763391234,5.13,4.46,3.54,1.98,1.52,1.43,0.67,0.92,0.46,0.09,-93.16,743.64,-6.23,0.0001,9.04077389,0.01798183,K0IV,1.33,0.07,2.327,0.029,3,0.12,4986,57,$\delta$
Epsilon Eridani,Ran,Eridanus,53.23268735,-9.458258657,5.19,4.61,3.73,2.23,1.75,1.67,0.58,0.88,0.48,0.08,-975.17,19.49,16.376,0.0001,3.216054544,0.001654881,K2V,0.82,0.02,0.735,0.005,0.34,,5084,5.9,$\epsilon$
Eta Eridani,Azha,Eridanus,44.10687285,-8.898145028,5.97,4.99,3.87,2.043,1.496,1.372,0.98,1.12,0.547,0.124,77.36,-220.16,-20.32,0.05,41.85851821,0.332905754,K1III,1.43,,10.48,,57.5,,4742,,$\eta$
Tau1 Eridani,,Eridanus,41.27584767,-18.57263295,4.94,4.94,4.46,3.58,3.35,3.32,0,0.48,0.23,0.03,314.265,50.538,25.9,0.8,14.13529456,0.090212658,F7V,1.15,,,,,,6231,,$\tau^1$
Tau2 Eridani,Angetenar,Eridanus,42.75967442,-21.00401818,6.28,5.67,4.77,3.212,2.781,2.668,0.61,0.9,0.431,0.113,-38.52,-16.05,-5.9,0.04,57.30659026,0.656809057,K0III,2.4,,8.12,,42.7,,5049,,$\tau^2$
Tau3 Eridani,,Eridanus,45.59791413,-23.62447044,4.33,4.25,4.09,3.77,3.68,3.66,0.08,0.16,0.09,0.02,-147.25,-55.28,-9.8,2,27.17391304,0.132915879,A3IV,1.78,,1.9,,13.7,,8251,281,$\tau^3$
Tau4 Eridani,,Eridanus,49.87917599,-21.75786249,7.13,5.32,3.7,-0.03,-0.82,-1.15,1.81,1.62,0.79,0.33,51.89,32.92,41.7,0.7,93.37068161,4.707765459,M3III,1.8,0.3,106,,1537,,3712,,$\tau^4$
Tau5 Eridani A,,Eridanus,53.44698387,-21.63288418,4.51,4.16,4.3,4.516,4.532,4.551,0.35,-0.14,-0.016,-0.019,44.94,-28.16,14,2,89.92805755,1.698281662,B9V,3.32,0.311126984,3.2,,188,,12514,425,$\tau^5$
Tau6 Eridani,,Eridanus,56.71203413,-23.2497235,4.62,4.65,4.2,3.61,3.393,3.353,-0.03,0.45,0.217,0.04,-158.84,-528.95,7.19,0.29,17.62735766,0.05903751,F5IV,1.35,,1.825,0.077781746,5.47,0.06,6535.5,135.0573952,$\tau^6$
Tau7 Eridani,,Eridanus,56.91520838,-23.87467549,5.468,5.299,5.235,5.139,5.107,5.078,0.169,0.064,0.032,0.029,47.46,49.1,28.4,0.5,84.95094083,1.130129324,A3V,2.03,,,,37.6,,8470,200,$\tau^7$
Tau8 Eridani,,Eridanus,58.42792408,-24.61222894,4.02,4.496,4.623,4.977,4.962,4.938,-0.476,-0.127,0.015,0.024,31.28,-7.49,20.5,0.2,100.9315987,2.025212896,B6V,5,0.1,,,256,,11858,,$\tau^8$
Tau9 Eridani A,,Eridanus,59.98117972,-24.01621164,4.11,4.52,4.66,4.828,4.89,4.803,-0.41,-0.14,-0.062,0.087,12.12,16.48,25.5,0.5,93.76377155,1.858553723,B9.5V,3.6,,3.06,,209,,12580,,$\tau^9$
Upsilon1 Eridani,,Eridanus,68.37729772,-29.76649375,6.2,5.49,4.51,2.85,2.28,2.2,0.71,0.98,0.57,0.08,-114.074,-271.666,20.62,0.22,37.55896758,0.295818767,K0III,1.54,,7.3,,24,,4941,,$\upsilon^1$
Upsilon2 Eridani,Theemin,Eridanus,68.88765973,-30.56234159,5.52,4.8,3.82,2.26,1.75,1.68,0.72,0.98,0.51,0.07,-49.27,-12.72,-4,0.7,65.57377049,0.816984682,G8III,,,16,,138,,5074,30,$\upsilon^2$
Upsilon3 Eridani,Beemim,Eridanus,66.00920405,-34.01684735,7.25,5.45,3.96,1.45,0.64,0.5,1.8,1.49,0.81,0.14,65.384,47.954,24.1,0.7,83.49266517,2.39315293,K3.5III,,,54,,426,,3990,,$\upsilon^3$
Upsilon4 Eridani A,,Eridanus,60.50692669,-33.79834914,3.07,3.44,3.56,3.84,3.87,3.87,-0.37,-0.12,-0.03,0,62.52,-7.24,17.6,0.9,54.5553737,0.44644332,B9V,3.17,0.07,2.32,0.18,100.6,4.3,12930,440,$\upsilon^4$
g Eridani,,Eridanus,57.36352199,-36.20025112,5.8,5.12,4.17,2.66,2.2,2.09,0.68,0.95,0.46,0.11,-49.18,-57.01,2.62,0.23,64.35006435,0.703958233,G7III,2.33,,11,,81.3,,4948,45,g
y Eridani,,Eridanus,54.27366314,-40.27465021,6.39,5.62,4.58,2.77,2.14,2.05,0.77,1.04,0.63,0.09,-13.342,12.219,11.5,0.02,70.6274543,1.637638306,K1III,1.43,0.25,13.01,0.54,96.75,21.84959954,4660,21,y
e Eridani,,Eridanus,49.9818789,-43.06978264,5.2,4.98,4.27,2.99,2.6,2.53,0.22,0.71,0.39,0.07,3038.34,726.58,87.882,0.0001,6.043391551,0.00693929,G6V,0.7,,0.92,,0.74,,5401,,e
Theta1 Eridani,Acamar,Eridanus,44.56533008,-40.30467935,3.47,3.33,3.18,2.245,2.159,2.094,0.14,0.15,0.086,0.065,-52.89,21.98,1.9,2.6,49.43153732,1.343912285,A2V,2.6,,16,,145,,8200,,$\theta^1$
Theta2 Eridani,,Eridanus,44.56835555,-40.30469445,,4.2,4.11,2.25,2.16,2.09,,0.09,0.09,0.07,-51.661,16.178,18.8,2,49.17653886,0.538562531,A1V,2.4,,7.8,,36,,9200,,$\theta^2$
Iota Eridani,,Eridanus,40.16681252,-39.85537615,,5.114,4.116,2.322,1.82,1.706,,0.998,0.502,0.114,135.92,-27.53,-9.3,0.7,46.18937644,0.384022529,K0III,1.42,,11,,57.5,,4683,35,$\iota$
s Eridani,,Eridanus,39.949856,-42.89176772,,4.81,4.75,4.68,4.62,4.46,,0.06,0.06,0.16,88.2,-17.82,18,4.2,40.47337661,0.643771026,A1V,1.95,,1.93,,17.44,,9099,309,s
Kappa Eridani,,Eridanus,36.74634073,-47.70384021,3.61,4.11,4.25,4.53,4.659,4.602,-0.5,-0.14,-0.129,0.057,13.92,-5.54,25.5,0.5,155.7632399,3.639328034,B7IV,5,0.8,6,,1175,,14700,400,$\kappa$
Chi Eridani,,Eridanus,28.98940026,-51.60888154,5.01,4.55,3.7,2.28,1.89,1.73,0.46,0.85,0.39,0.16,682.281,295.332,-6.3,0.7,17.42846487,0.099964582,G8III,1.58,,3.993,0.027,9.84,0.39,5115,49,$\chi$
Alpha Eridani,Achernar,Eridanus,24.42852283,-57.23675281,-0.36,0.3,0.46,0.8,0.85,0.88,-0.66,-0.16,-0.05,-0.03,87,-38.24,18.6,3,42.75331338,1.041872109,B6V,6.7,,9.35,2.899137803,3150,,15000,,$\alpha$
Alpha Fornacis A,Dalim,Fornax,48.01886399,-28.98762047,4.41,4.36,3.85,2.85,2.32,2.54,0.05,0.51,0.53,-0.22,370.87,611.33,-16.917,0.0004,14.23690205,0.091210221,F6V,1.33,0.01,2.04,0.06,4.87,0.16,6240,,$\alpha$
Beta Fornacis,,Fornax,42.27258017,-32.40589597,6.14,5.45,4.46,2.732,2.256,2.139,0.69,0.99,0.476,0.117,85.741,158.972,17.82,0.22,54.57204602,0.5697121,G9III,1.53,,11.02,,55.8,,4820,,$\beta$
Nu Fornacis,,Fornax,31.12266086,-29.29681882,4.01,4.52,4.69,5,5.048,5.015,-0.51,-0.17,-0.048,0.033,12.79,8.48,18.5,2,113.7656428,3.365081584,B9.5III,3.65,0.18,3.44,,245,,13400,,$\nu$
Xi Geminorum ,Alzirr,Gemini,101.3223513,12.89559198,3.85,3.79,3.36,2.57,1.811,2.3,0.06,0.43,0.759,-0.489,-115.73,-190.55,27.2,0.7,17.99856012,0.061550152,F5IV,1.706,0.012,2.71,0.021,11.574,0.238,6480,39,$\xi$
Lambda Geminorum,,Gemini,109.5232505,16.5403879,3.837,3.674,3.559,3.54,3.5,3.54,0.163,0.115,0.04,-0.04,-44.43,-36.61,-7.4,0.9,30.93102382,0.191345647,A4IV,2.098,,2.7773,0.0469,27.3901,0.3416,7932,62,$\lambda$
Delta Geminorum,Wasat,Gemini,110.0307491,21.98231604,3.91,3.87,3.53,2.98,2.86,2.62,0.04,0.34,0.12,0.24,-15.13,-9.79,4.1,2,18.53911754,0.22684126,F2V,1.57,,,,,,6900,,$\delta$
Zeta Geminorum,,Gemini,106.0272116,20.5702983,5.2,4.58,3.79,2.58,2.029,2.11,0.62,0.79,0.551,-0.081,-7.29,-0.41,2.8,0.2,421.9409283,53.41024408,G1Ib,7.7,0.3,65.24,4.17,2900,,5520,367.6955262,$\zeta$
Gamma Geminorum A,Alhena,Gemini,99.42796042,16.39928042,1.98,1.92,1.92,1.89,1.85,1.87,0.06,0,0.04,-0.02,13.81,-54.96,-12.63,0.02,33.51206434,2.504420358,A1.5IV,2.81,,3.3,,123,,9260,,$\gamma$
Upsilon Geminorum,,Gemini,113.9806276,26.89575318,7.54,5.6,4.06,1.2,0.43,0.24,1.94,1.54,0.77,0.19,-33.396,-108.045,-21.61,0.19,80.95527221,2.940014986,M0III,1.52,,44,,417,,3926,16,$\upsilon$
Kappa Geminorum,,Gemini,116.1118899,24.39799645,5.19,4.49,3.57,2.02,1.642,1.46,0.7,0.92,0.378,0.182,-23.39,-54.57,20.15,0.21,43.34633723,0.413359089,G8III,2.07,,11,,67.6,,4932,15,$\kappa$
Beta Geminorum,Pollux,Gemini,116.3289578,28.02619889,3,2.14,1.14,-0.52,-1,-1.11,0.86,1,0.48,0.11,-626.55,-45.8,3.391,0.0003,10.35840066,0.028970045,K0III,1.91,0.09,9.06,0.03,32.7,1.6,4586,57,$\beta$
Iota Geminorum,,Gemini,111.4316472,27.79808135,5.67,4.83,3.79,2.04,1.658,1.42,0.84,1.04,0.382,0.238,-122.66,-84.03,7.432,0.0009,36.900369,0.272327447,G9III,1.89,,10,,48,,4753,,$\iota$
Tau Geminorum,,Gemini,107.7848768,30.24516197,7.08,5.68,4.42,2.38,1.79,1.59,1.4,1.26,0.59,0.2,-31.21,-48.92,21.27,0.28,98.42519685,2.421879844,K2III,2.3,0.3,26.8,0.7,224,,4388,25,$\tau$
Alpha Geminorum Aa,Castor,Gemini,113.6494285,31.88827619,1.64,1.62,1.58,1.53,1.52,1.52,0.02,0.04,0.01,0,-206.3,-148.2,6,0.9,15.59575795,0.912103748,A1.5IV,2.76,,2.4,,,,10286,,$\alpha$
Alpha Geminorum Ba,,Gemini,113.6504186,31.88849199,,3.04,3,,,,,0.04,,,-206.3,-148.2,-1.2,0.9,15.59575795,0.912103748,A1IV,2.98,,3.3,,,,8842,,
Alpha Geminorum C,,Gemini,113.6560314,31.86949473,11.6,10.56,9.27,6.073,5.42,5.236,1.04,1.29,0.653,0.184,-201.49,-97.104,32.66,,15.09837345,0.011648801,M0.5V,0.5992,,0.6191,,0.0733,,3820,,
Theta Geminorum,,Gemini,103.1972453,33.96125485,3.84,3.7,3.6,3.3,3.229,3.23,0.14,0.1,0.071,-0.001,-1.66,-47.31,21,4.1,57.97101449,0.638521319,A2IV,1.8,,5.1,,93,,8502,289,$\theta$
Epsilon Geminorum,Mebsuta,Gemini,100.9830261,25.13112541,5.85,4.39,2.98,0.92,0.4,0.17,1.46,1.41,0.52,0.23,-5.57,-12.36,7.77,0.23,259.0673575,11.40970227,G8Ib,19.2,0.1,140,35,8500,,4662,36,$\epsilon$
Nu Geminorum Aa,,Gemini,97.24077556,20.2121349,3.51,4,4.14,4.47,4.43,4.346,-0.49,-0.14,0.04,0.084,-6.82,-13.1,39.4,0.5,166.9449082,7.803768663,B6IV,3.34,,,,1380,,14100,,$\nu$
Mu Geminorum,Tejat,Gemini,95.74011192,22.51358275,6.37,4.51,2.87,-0.78,-1.68,-1.49,1.86,1.64,0.9,-0.19,56.39,-110.03,54.38,0.24,71.02272727,3.58140173,M3III,2.1,,80,,1148,,3460,,$\mu$
Eta Geminorum Aa,Propus,Gemini,93.71935536,22.50678733,6.55,4.89,3.28,-0.33,-1.22,-1.43,1.66,1.61,0.89,0.21,-59.53,-7.766,22.39,0.36,211.3628678,45.59901909,M2III,2.5,,314,,13979.5,1635.537985,3605,170,$\eta$
1 Geminorum,,Gemini,91.03006433,23.26334447,5.54,5.02,4.15,2.71,2.311,2.13,0.52,0.87,0.399,0.181,-1.61,-118.33,22.39,0.28,47.55111745,2.034997894,G5III,1.94,0.01,,,,,,,1
Zeta Gruis,,Grus,345.2199907,-52.75413071,5.812,5.086,4.115,2.374,1.921,1.827,0.726,0.971,0.453,0.094,-57.911,-13.371,-1.1,2,40.74116324,0.850503237,K1III,,,9.695,0.685893578,45.6,1.1,4823.5,170.4127343,$\zeta$
Epsilon Gruis,,Grus,342.1387429,-51.31687005,,3.556,3.466,3.18,3.162,3.19,,0.09,0.018,-0.028,107.075,-61.216,-0.4,2.1,41.4817273,0.496775819,A2IV,1.85,,,,,,8685,295,$\epsilon$
Beta Gruis,Tiaki,Grus,340.6668761,-46.88457644,5.33,3.73,2.11,-1.973,-3.12,-3.22,1.6,1.62,1.147,0.1,135.16,-4.38,-0.3,0.3,54.25935974,1.23651281,M4.5III,2.4,,180,,2500,,3480,,$\beta$
Alpha Gruis,Alnair,Grus,332.0582697,-46.96097439,1.11,1.58,1.71,2.01,2.06,2.09,-0.47,-0.13,-0.05,-0.03,126.69,-147.47,10.9,1.7,30.96934035,0.201411009,B6V,4,,3.4,,520,,13920,,$\alpha$
Delta1 Gruis,,Grus,337.317395,-43.49556237,5.8,5,3.97,2.35,1.79,1.71,0.8,1.03,0.56,0.08,25.72,-3.32,4.9,0.8,94.87666034,1.980347749,G6III,,,,,288,,5013,88,$\delta^1$
Delta2 Gruis,,Grus,337.4393084,-43.74922133,7.38,5.68,4.11,0.27,-0.62,-0.87,1.7,1.57,0.89,0.25,-14.08,2.57,2.7,0.8,101.2145749,2.35620974,M4.5III,,,,,,,,,$\delta^2$
Mu1 Gruis,,Grus,333.9163891,-41.34676549,6.07,5.595,4.798,3.425,2.914,2.891,0.475,0.797,0.511,0.023,30.774,42.645,-4.82,1.54,74.01102764,1.558934128,G8III,,,9.35,1.909188309,67,2.404163056,5445,565.6854249,$\mu^1$
Mu2 Gruis,,Grus,334.1106163,-41.62717407,,6.036,5.117,3.603,3.076,3.006,,0.919,0.527,0.07,-14.788,-15.53,15.9,0.5,76.0005472,0.900491367,G8III,,,10.03,0.367695526,56.37,0.78,4995.5,92.63098834,$\mu^2$
Lambda Gruis,,Grus,331.5286903,-39.54335163,7.468,5.843,4.458,2.099,1.436,1.272,1.625,1.385,0.663,0.164,-23.8,-124.58,38.8,0.7,74.23904974,1.212516031,K3III,2.4,,22.3,,155,,4269,,$\lambda$
Gamma Gruis,Aldhanab,Grus,328.4821925,-37.36485527,2.52,2.89,3.01,3.39,3.43,3.45,-0.37,-0.12,-0.04,-0.02,98.07,-13.22,0.1,0.4,64.72491909,2.806841152,B8IV,3.06,,4.5,,373,,12520,,$\gamma$
Omicron Herculis,,Hercules,271.885628,28.76249107,3.74,3.802,3.827,3.968,3.96,3.954,-0.062,-0.025,0.008,0.006,-0.02,8.55,-29.5,1.78,103.626943,1.718166931,B9.5III,3.49,0.04,,,355,,9484,,$o$
Xi Herculis,,Hercules,269.4411905,29.24787986,5.34,4.64,3.7,2.15,1.52,1.58,0.7,0.94,0.63,-0.06,82.44,-18.73,-1.756,0.0013,41.94630872,0.263923922,G8.5III,2.01,,10,,51,,4966,15,$\xi$
Mu Herculis Aa,,Hercules,266.6146945,27.72067722,4.56,4.17,3.42,2.14,1.81,1.75,0.39,0.75,0.33,0.06,-291.66,-749.6,-17.78,0.03,8.310479515,0.011050251,G5IV,1.11,0.01,1.73,0.02,2.54,0.08,5560,80,$\mu$
Mu Herculis B,,Hercules,266.6049121,27.71726021,,11.25,,5.772,5.174,4.953,,,0.598,0.221,-408.409,-792.387,-13.82,0.0003,8.347886482,0.045895996,M3.5V,0.44,,0.6,,0.087,,4050,,
Lambda Herculis,Maasym,Hercules,262.6846249,26.11064236,7.53,5.85,4.41,2.04,1.443,1.17,1.68,1.44,0.597,0.273,18.69,16.942,-26.51,0.38,117.6332196,2.514287261,K3.5III,,,,,465,,4070,,$\lambda$
Delta Herculis,Sarin,Hercules,258.7579608,24.83920697,3.29,3.21,3.13,2.95,2.976,2.85,0.08,0.08,-0.026,0.126,-21.18,-156.48,-40,2,23.03616678,0.079599747,A1IV,2.4,,2.2,,38,,9620,350,$\delta$
Alpha Herculis A,Rasalgethi,Hercules,258.6619091,14.39034061,5.52,4.51,3.06,-2.3,-3.22,-3.51,1.01,1.45,0.92,0.29,-7.32,36.07,-32.09,0.22,110.2535832,16.04572546,M5Ib,2.7125,0.76013979,284,60,8288.5,1477.146066,3260,148.492424,$\alpha$
Beta Herculis A,Kornephoros,Hercules,247.5549981,21.48961133,4.39,3.7,2.77,1.21,0.69,0.62,0.69,0.93,0.52,0.07,-99.15,-15.39,-25.91,0.54,42.66211604,1.055632564,G7III,2.9,,17,,151,,4887,,$\beta$
Gamma Herculis,,Hercules,245.48006,19.15312828,4.22,4.03,3.76,3.18,3.12,3,0.19,0.27,0.06,0.12,-47.39,43.81,-35.3,2,59.06674542,0.767553691,A9III,,,6,,92,,7031,,$\gamma$
Omega Herculis A,Cujam,Hercules,246.3539802,14.03326531,4.53,4.57,4.58,4.56,4.59,4.52,-0.04,-0.01,-0.03,0.07,38.156,-59.086,-5.9,0.74,73.82253064,1.956095498,A2V,2.14,,3.3,,70,,10052,320,$\omega$
h Herculis,,Hercules,248.1512163,11.48804109,8.16,6.34,4.85,2.17,1.414,1.17,1.82,1.49,0.756,0.244,-178.84,-79.27,2.92,0.2,107.6426265,3.012603109,K4.5III,1.19,,41.37,1.598061325,384,19,3958,25,h
Zeta Herculis,,Hercules,250.3215043,31.60271869,3.64,3.43,2.8,1.5,1.187,1.278,0.21,0.63,0.313,-0.091,-461.52,342.28,-67.8,0.2,10.71581655,0.0539695,G0IV,1.45,0.01,2.585,0.035355339,6.55,0.39,5820,50,$\zeta$
Eta Herculis,,Hercules,250.7240212,38.92225357,5.03,4.42,3.5,1.98,1.366,1.35,0.61,0.92,0.614,0.016,35.41,-85.3,8.325,0.001,33.31112592,0.122059422,G7III,2.13,,8.9,0.3,0,,4900,,$\eta$
Sigma Herculis,,Hercules,248.5257557,42.4369819,4.04,4.177,4.196,4.42,4.34,4.05,-0.137,-0.019,0.08,0.29,-14.619,50.549,-10.9,1.78,77.1628754,2.052381489,B9V,2.6,,4.91,,230,,9794,333,$\sigma$
Tau Herculis,,Hercules,244.9351528,46.31336453,3.19,3.73,3.87,3.927,4.085,4.285,-0.54,-0.14,-0.158,-0.2,-13.33,38.48,-15.5,0.5,94.25070688,0.977151532,B5IV,4.01,,3.55,0.19,574,,15615,301,$\tau$
Phi Herculis,,Hercules,242.192362,44.93492561,3.92,4.2,4.27,4.31,4.33,4.32,-0.28,-0.07,-0.02,0.01,-18.95,32.27,-16.3,0.4,67.11859856,1.819531644,B9V,3.05,0.24,,,72,,11525,150,$\phi$
Chi Herculis,,Hercules,238.1689214,42.4515142,5.19,5.19,4.62,3.49,3.14,3.12,0,0.57,0.35,0.02,438.816,630.313,-56.072,0.001,15.83212877,0.037347789,F8V,1.0345,0.048790368,1.705,0.06363961,3.24,,5837,,$\chi$
Epsilon Herculis,,Hercules,255.0723907,30.92640458,3.8,3.91,3.92,3.93,3.641,3.916,-0.11,-0.01,0.289,-0.275,-47.69,26.9,-25.1,2,47.52851711,0.316254391,A0V,2.6,0.1,2.72,0.07,64,,10197,5,$\epsilon$
Pi Herculis,,Hercules,258.7618098,36.80916232,6.28,4.61,3.18,0.79,0.09,-0.22,1.67,1.43,0.7,0.31,-27.29,2.82,-25.57,0.2,115.4734411,1.600093872,K3II,3.7,,72,7,1330,,4170,,$\pi$
Rho Herculis A,,Hercules,260.9206005,37.14594279,4.11,4.17,4.17,3.89,3.95,4.227,-0.06,0,-0.06,-0.277,-39.38,7.71,-21,2,120.6272618,4.801808972,A0III,4,,,,,,9118,,$\rho$
Theta Herculis,,Hercules,269.0632523,37.25053732,6.7,5.23,3.88,1.79,1.056,1.01,1.47,1.35,0.734,0.046,2.67,6.47,-28.32,0.16,230.9468822,6.933740113,K1II,4.94,,89.97,,2405.7,,4266,,$\theta$
Iota Herculis,,Hercules,264.866192,46.00633336,2.94,3.63,3.8,4.267,4.349,4.228,-0.69,-0.17,-0.082,0.121,-7.48,4.53,-18.9,0.4,140.0560224,2.539370002,B3IV,6.7,0.1,5.29,0.45,2489,,18070,294,$\iota$
Alpha Horologii,,Horologium,63.50047687,-42.29436756,5.97,4.96,3.86,2.001,1.46,1.337,1.01,1.1,0.541,0.123,42.02,-203.55,21.749,0.0003,35.26093089,0.14919999,K2III,1.55,,,,37.61,,5028,,$\alpha$
Iota Horologii,,Horologium,40.63944368,-50.8002934,,5.97,5.4,4.75,4.32,4.138,,0.57,0.43,0.182,333.826,219.488,16.934,0.0005,17.32672838,0.016121573,F8V,1.25,0.01,1.16,0.04,1.64,0.05,6080,,$\iota$
Eta Horologii,,Horologium,39.35161679,-52.54303144,,5.569,5.293,4.564,4.5,4.525,,0.276,0.064,-0.025,78.117,-38.344,-3,7.4,41.85518942,0.685326412,A6V,1.75,,,,12.6,,7552,257,$\eta$
Zeta Horologii,,Horologium,40.16505601,-54.54991096,,5.61,5.21,4.66,4.295,4.239,,0.4,0.365,0.056,33.331,5.581,-1.1,2,48.94091852,0.279281895,F6V,1.43,,,,16.7,,6702,,$\zeta$
Mu Horologii,,Horologium,45.90341172,-59.73777347,,5.454,5.122,4.591,4.275,4.279,,0.332,0.316,-0.004,-73.704,-63.77,17.3,2,42.80107345,0.223312497,F0III,1.565,0.06363961,,,13,,6898,63,$\mu$
Beta Horologii,,Horologium,44.69916176,-64.07129097,5.24,5.094,4.969,4.901,4.786,4.615,0.146,0.125,0.115,0.171,22.074,5.825,23.6,2,95.63155076,1.305047653,A3III,,,1.4,,63,,8303,,$\beta$
Rho Hydrae,,Hydra,132.1082107,5.837813426,4.27,4.309,4.337,4.496,4.508,4.36,-0.039,-0.028,-0.012,0.148,-17.33,-29.41,32.8,2,108.577633,2.475711502,A0V,3.24,0.05,2,,242,,9795,,$\rho$
Eta Hydrae,,Hydra,130.8061458,3.398662975,3.38,4.1,4.3,4.7,4.84,4.8,-0.72,-0.2,-0.14,0.04,-19.39,-1.08,16.1,0.3,179.8561151,7.763573314,B3V,7,0.1,3.9,,2680,,18630,41,$\eta$
Sigma Hydrae,Minchir,Hydra,129.6893228,3.341436138,6.91,5.63,4.43,2.53,2.013,1.79,1.28,1.2,0.517,0.223,-19.48,-15.92,26.06,0.15,114.2857143,3.265306122,K1III,3.07,,27.6,,295,,4491,51,$\sigma$
Delta Hydrae,,Hydra,129.4140404,5.703788174,4.147,4.144,4.131,4.147,4.126,4.033,0.003,0.013,0.021,0.093,-71.07,-7.653,11.3,4.1,49.73713922,1.043441677,A0V,2.88,,2.7,,42.7,,11055,376,$\delta$
Epsilon Hydrae A,Ashlesha,Hydra,131.693801,6.418801528,4.43,4.06,3.38,1.86,1.399,1.274,0.37,0.68,0.461,0.125,-228.11,-43.82,40.46,0.03,39.63535474,1.539542118,G1III,,,,,67,,5620,,$\epsilon$
Zeta Hydrae,,Hydra,133.8484422,5.945565383,4.92,4.1,3.1,1.48,0.758,0.87,0.82,1,0.722,-0.112,-100.06,15.45,22.3,0.3,51.25576627,0.472887644,G8.5III,4.2,,17.9,,132,,4925,,$\zeta$
Theta Hydrae A,,Hydra,138.59111,2.314343943,3.712,3.82,3.895,3.455,4.04,3.943,-0.108,-0.075,-0.585,0.097,128.152,-327.709,-10.7,0.3,35.20891208,0.45644557,B9.5V,2.52,,,,52,,10099,145,$\theta$
Iota Hydrae,Ukdah,Hydra,144.964006,-1.142809303,6.68,5.23,3.91,1.73,0.953,0.9,1.45,1.32,0.777,0.053,46.96,-62.39,24.19,0.36,80.7102502,0.911980228,K2.5III,1.92,,33,,83,,4244,32,$\iota$
Alpha Hydrae,Alphard,Hydra,141.8968446,-8.658599528,5.14,3.42,1.97,-0.36,-1.05,-1.21,1.72,1.45,0.69,0.16,-15.23,34.37,-4.561,0.0001,55.27915976,0.550041391,K3III,3.03,0.36,50.5,4,780,78,4120,,$\alpha$
Upsilon1 Hydrae,Zhang,Hydra,147.8695577,-14.84660306,5.68,5.03,4.11,2.58,2.11,2.03,0.65,0.92,0.47,0.08,18.88,-21.85,-14.34,0.04,80.90614887,1.70190928,G7III,3.33,,14.69,,162,,5185,,$\upsilon^1$
Upsilon2 Hydrae,,Hydra,151.2811203,-13.0646267,4.22,4.5,4.588,4.681,4.774,4.727,-0.28,-0.088,-0.093,0.047,-39.39,19.65,24.3,2.6,96.15384615,2.12647929,B8V,3.29,0.03,3.2,,12,,11758,400,$\upsilon^2$
Lambda Hydrae,,Hydra,152.6470358,-12.35412748,5.53,4.61,3.61,1.959,1.519,1.391,0.92,1,0.44,0.128,-217.433,-74.373,19.4,0.9,33.30757547,0.773580843,K0III,1.5,0.5,9.7,,39.8,,4656,,$\lambda$
Mu Hydrae,,Hydra,156.5226096,-16.83628969,7.11,5.29,3.81,1.3,0.53,0.37,1.82,1.48,0.77,0.16,-129.17,-79.76,40.81,0.36,71.78750897,0.92762036,K4III,,,45,,332,,3999,8,$\mu$
Nu Hydrae,,Hydra,162.4062031,-16.19364889,5.62,4.35,3.11,1.06,0.39,0.27,1.27,1.24,0.67,0.12,93.35,198.88,-1.37,0.25,44.07227854,0.446744119,K1.5III,2,,21,,151,,4335,,$\nu$
