I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Epsilon Capricorni A,Castra,Capricornus,324.2701278,-19.46601288,3.69,4.35,4.55,4.85,4.91,4.788,-0.66,-0.2,-0.06,0.122,12.79,0.28,-23.7,0.9,323.6245955,18.85191818,B3V,7.6,,4.8,,4649,,18800,,$\epsilon$
Delta Capricorni A,Deneb Algedi,Capricornus,326.7601843,-16.12728709,3.22,3.12,2.83,2.34,2.063,2.14,0.1,0.29,0.277,-0.077,261.7,-296.7,-3.4,0.8,11.8666192,0.026755164,A7III,2,,1.91,,8.5,,7301,,$\delta$
Gamma Capricorni,Nashira,Capricornus,325.0227353,-16.66230755,4.19,3.98,3.67,3.19,3.09,3.04,0.21,0.31,0.1,0.05,187.56,-22.45,-31.2,0.5,48.14636495,1.66901217,F1V,2.44,,2.35,,,,7520,,$\gamma$
Theta Capricorni,,Capricornus,316.4867826,-17.23286169,4.07,4.06,4.07,4.06,4.03,4.1,0.01,-0.01,0.03,-0.07,79.33,-62.01,-10.9,2,49.72650423,0.692363062,A1V,2.24,,2.7,,65,,10001,340,$\theta$
Alpha Carinae,Canopus,Carina,95.98795783,-52.69566139,-0.49,-0.59,-0.74,-1.15,-1.25,-1.35,0.1,0.15,0.1,0.1,19.93,23.24,20.3,0.5,94.78672986,5.031333528,A9II,8,0.3,71,4,10700,,7400,,$\alpha$
Beta Carinae,Miaplacidus,Carina,138.2999061,-69.71720758,1.72,1.69,1.69,1.55,1.57,1.54,0.03,0,-0.02,0.03,-156.47,108.95,-5.1,2.3,34.6981263,0.132435597,A1III,3.5,,6.8,,288,,8866,,$\beta$
Omega Carinae,,Carina,153.4342391,-70.03790453,2.92,3.25,3.33,3.36,3.422,3.34,-0.33,-0.08,-0.062,0.082,-36.01,7.09,10.4,2.5,104.8218029,0.988884933,B7III,,,7.2,0.14,918,,11630,,$\omega$
Theta Carinae A,,Carina,160.7391749,-64.39445022,1.53,2.54,2.76,3.3,3.35,3.45,-1.01,-0.22,-0.05,-0.1,-18.36,12.03,20.6,1.1,139.6648045,4.096314098,B0V,14.9,0.4,5.1,,25673,,31000,,$\theta$
HD 96566,,Carina,166.6351111,-62.42411442,,5.622,4.606,2.987,2.57,2.439,,1.016,0.417,0.131,-36.93,9.46,-1.07,0.17,115.2737752,1.843051599,G7.5III,3.6,,20.195,0.530330086,214.4,4,4916,65.05382387,
HD 96919,,Carina,167.1416558,-61.94717389,4.96,5.42,5.19,4.51,4.38,4.311,-0.46,0.23,0.13,0.069,-6.286,1.459,-22.4,2,2142.704093,567.9290685,B9.5Ia,23,,141,,105000,,12500,,
