Common Name,ID1,ID2,ObjType,Constellation,RA,Dec,B,V,B-V,R1,R2,Angle,Draw?,PM RA,PM Dec,RV,RV Err,Dist,Dist Err
Cocoon Galaxy,NGC 4490,UGC 7651,SpiGal,Canes Venatici,187.650996,41.643897,10.22,9.79,0.43,3.155,1.546,125,No,0.00,0.00,565.00,3.00,6490000.0,1047161.5
,NGC 4494,UGC 7662,EllGal,Coma Berenices,187.850433,25.775253,10.71,9.83,0.88,2.393,1.774,173,No,0.00,0.00,1342.00,5.00,16900000.0,1090726.0
,NGC 4517,UGC 7694,SpiGal,Virgo,188.189958,0.115028,11.10,10.39,0.71,5.236,0.775,83,No,0.00,0.00,1126.00,1.00,9600000.0,1903008.0
,NGC 4526,UGC 7718,SpiGal,Virgo,188.512854,7.699525,10.66,9.70,0.96,3.623,1.199,113,No,0.00,0.00,617.00,5.00,15000000.0,553200.0
,NGC 4527,UGC 7721,SpiGal,Virgo,188.535088,2.653664,11.38,10.52,0.86,3.083,1.045,67,No,0.00,0.00,1736.00,1.00,12000000.0,2489400.0
,NGC 4535,UGC 7727,SpiGal,Virgo,188.584625,8.197750,10.59,9.96,0.63,3.540,2.506,28,No,0.00,0.00,1964.00,1.00,16100000.0,667989.0
,NGC 4536,UGC 7732,SpiGal,Virgo,188.612708,2.188136,11.16,10.55,0.61,3.793,1.619,130,No,0.00,0.00,1808.00,1.00,12400000.0,2458052.0
,NGC 4546,UGC 288,EllGal,Virgo,188.872958,-3.793194,11.30,10.32,0.98,1.656,0.724,78,No,0.00,0.00,1057.00,5.00,14000000.0,903560.0
,NGC 4550,UGC 7757,EllGal,Virgo,188.877429,12.220825,12.56,11.68,0.88,1.656,0.467,178,No,0.00,0.00,459.00,5.00,13400000.0,741288.0
,NGC 4559,C36,SpiGal,Coma Berenices,188.990196,27.959992,10.46,10.01,0.45,5.358,2.181,150,No,0.00,0.00,814.00,1.00,7300000.0,1447079.0
Needle Galaxy,NGC 4565,C38,SpiGal,Coma Berenices,189.086584,25.987675,10.42,9.58,0.84,7.924,1.070,136,No,0.00,0.00,1282.00,1.00,13700000.0,2715751.0
Butterfly Galaxies,NGC 4567,UGC 7777,SpiGal,Virgo,189.136292,11.258000,12.06,11.31,0.75,1.476,0.998,85,No,0.00,0.00,2247.00,1.00,16800000.0,6195840.0
Butterfly Galaxies,NGC 4568,UGC 7776,SpiGal,Virgo,189.142750,11.238889,11.68,10.81,0.87,2.286,0.999,23,No,0.00,0.00,2232.00,4.00,17300000.0,3748391.0
,NGC 4570,UGC 7785,EllGal,Virgo,189.222500,7.246639,11.84,10.90,0.94,1.901,0.574,159,No,0.00,0.00,1787.00,5.00,17000000.0,940440.0
,NGC 4596,UGC 7828,EllGal,Virgo,189.983108,10.176139,11.35,10.41,0.94,1.991,1.475,135,No,0.00,0.00,1892.00,5.00,16800000.0,6195840.0
,NGC 4605,UGC 7831,SpiGal,Ursa Major,189.997417,61.609194,10.89,10.33,0.56,2.878,1.093,125,No,0.00,0.00,136.00,3.00,5550000.0,869907.0
,NGC 4618,UGC 7853,SpiGal,Canes Venatici,190.386875,41.150778,11.22,10.78,0.44,2.084,1.694,25,No,0.00,0.00,544.00,1.00,6520000.0,1352574.0
Whale Galaxy,NGC 4631,C32,SpiGal,Canes Venatici,190.533375,32.541500,9.75,9.19,0.56,7.744,1.348,86,No,0.00,0.00,610.00,2.00,7520000.0,208003.2
,NGC 4636,UGC 7878,EllGal,Virgo,190.707613,2.687775,10.43,9.49,0.94,3.013,2.338,150,No,0.00,0.00,938.00,4.00,15100000.0,835332.0
,NGC 4643,UGC 7895,EllGal,Virgo,190.833908,1.978269,11.72,10.76,0.96,1.545,1.145,48,No,0.00,0.00,1333.00,5.00,25700000.0,9478160.0
,NGC 4654,UGC 7902,SpiGal,Virgo,190.985750,13.126681,11.10,10.50,0.60,2.449,1.408,128,No,0.00,0.00,1036.00,1.00,13100000.0,2596813.0
Hockey Stick Galaxies,NGC 4656/7,UGC 7907,SpiGal,Canes Venatici,190.990542,32.168139,10.96,10.52,0.44,7.568,1.476,33,No,0.00,0.00,646.00,1.00,7870000.0,1342385.9
,NGC 4660,UGC 7914,EllGal,Virgo,191.133267,11.190533,12.16,11.24,0.92,1.094,0.811,100,No,0.00,0.00,1083.00,4.00,16700000.0,923844.0
,NGC 4665,UGC 7924,EllGal,Virgo,191.274971,3.055778,,10.50,,1.901,1.582,5,No,0.00,0.00,912.00,5.00,17900000.0,6601520.0
,NGC 4666,UGC 7926,SpiGal,Virgo,191.285796,-0.461886,11.49,10.74,0.75,2.286,0.645,42,No,0.00,0.00,1513.00,1.00,12800000.0,2537344.0
,NGC 4689,UGC 7965,SpiGal,Coma Berenices,191.285796,13.762814,11.60,10.95,0.65,2.133,1.734,140,No,0.00,0.00,1604.00,3.00,16000000.0,1475200.0
,NGC 4697,C52,EllGal,Virgo,192.149492,-5.800742,10.14,9.23,0.91,3.623,2.340,70,No,0.00,0.00,1241.00,2.00,12400000.0,800296.0
,NGC 4698,UGC 7970,SpiGal,Virgo,192.095446,8.487383,11.46,10.55,0.91,1.991,1.228,170,No,0.00,0.00,1009.00,1.00,30500000.0,6046015.0
,NGC 4699,UGCA 301,SpiGal,Virgo,192.259300,-8.664858,10.41,9.52,0.89,1.901,1.315,45,No,0.00,0.00,1390.00,4.00,19500000.0,4045275.0
,NGC 4725,UGC 7989,SpiGal,Coma Berenices,192.610754,25.500806,10.11,9.39,0.72,5.358,3.793,35,No,0.00,0.00,1209.00,1.00,14300000.0,2834689.0
,NGC 4753,UGC 8009,EllGal,Virgo,193.092125,-1.199694,10.85,9.95,0.90,3.013,1.410,80,No,0.00,0.00,1163.00,5.00,24100000.0,1555414.0
,NGC 4754,UGC 8010,EllGal,Virgo,193.072900,11.313886,11.52,10.60,0.92,2.286,1.228,23,No,0.00,0.00,1351.00,5.00,15900000.0,1026186.0
,NGC 4762,UGC 8016,EllGal,Virgo,193.233542,11.230806,11.12,10.26,0.86,4.355,0.832,32,No,0.00,0.00,986.00,5.00,23100000.0,3407712.0
Jewel Box,NGC 4755,C94,OC,Crux,193.415000,-60.371111,,4.20,,10.300,10.300,0,No,-4.67,-1.13,-20.00,0.70,2164.5,9.4
,NGC 4781,LEDA 43902,SpiGal,Virgo,193.598958,-10.537194,11.69,11.10,0.59,1.733,0.775,120,No,0.00,0.00,1260.00,2.00,11600000.0,2299468.0
,NGC 4800,UGC 8035,SpiGal,Canes Venatici,193.657483,46.531156,12.30,11.60,0.70,0.793,0.587,25,No,0.00,0.00,836.00,12.00,29000000.0,5748670.0
,NGC 4845,UGC 8087,SpiGal,Virgo,194.504967,1.575839,12.10,11.17,0.93,2.506,0.659,89,No,0.00,0.00,1098.00,3.00,19000000.0,3766370.0
,NGC 4856,UGCA 313,EllGal,Virgo,194.838625,-15.042167,11.49,10.50,0.99,2.133,0.586,35,No,0.00,0.00,1353.00,7.00,24000000.0,4425600.0
