Common Name,ID1,ID2,ObjType,Constellation,RA,Dec,B,V,B-V,R1,R2,Angle,Draw?,PM RA,PM Dec,RV,RV Err,Dist,Dist Err
,NGC 11,,SpiGal,Andromeda,2.177083,37.447917,,14.50,,1.478,0.257,111,No,0.00,0.00,4078.00,30.00,60150000.0,4230000.0
,NGC 909,,EllGal,Andromeda,36.344973,42.035668,,14.50,,0.892,0.892,40,No,0.00,0.00,4766.00,19.00,70300000.0,4930000.0
,NGC 910,,EllGal,Andromeda,36.361583,41.824278,13.18,12.17,1.01,1.995,1.995,35,No,0.00,0.00,4903.00,21.00,72310000.0,5070000.0
,NGC 70,,SpiGal,Andromeda,4.593917,30.079583,,14.50,,1.413,1.231,0,No,0.00,0.00,6838.00,23.00,100850000.0,7070000.0
,NGC 562,,SpiGal,Andromeda,22.121917,48.387083,,14.50,,1.258,1.047,20,No,0.00,0.00,10017.00,19.00,147740000.0,10350000.0
,NGC 243,,SpiGal,Andromeda,11.503625,29.959500,,14.60,,0.933,0.427,150,No,0.00,0.00,4472.00,24.00,65960000.0,4630000.0
,NGC 5,,EllGal,Andromeda,1.953633,35.362304,,14.60,,1.202,0.725,115,No,0.00,0.00,4691.00,39.00,69190000.0,4880000.0
,IC 1544,,SpiGal,Andromeda,5.322917,23.090861,,14.60,,1.175,0.832,150,No,0.00,0.00,5373.00,24.00,79250000.0,5560000.0
,NGC 51,,EllGal,Andromeda,3.645482,48.255687,,14.60,,1.258,0.977,20,No,0.00,0.00,5081.00,26.00,74940000.0,5260000.0
,NGC 7440,,SpiGal,Andromeda,344.635593,35.802404,14.40,13.49,0.91,1.413,1.149,50,No,0.00,0.00,5343.00,23.00,78810000.0,5530000.0
,IC 46,,EllGal,Andromeda,10.741556,27.253483,,14.70,,0.588,0.490,90,No,0.00,0.00,4963.00,23.00,73210000.0,5140000.0
,NGC 229,,SpiGal,Andromeda,10.769333,23.509111,,14.70,,1.052,0.484,95,No,0.00,0.00,7038.00,33.00,103800000.0,7280000.0
,NGC 717,,SpiGal,Andromeda,28.479625,36.229417,14.86,13.90,0.96,1.318,0.245,117,No,0.00,0.00,4931.00,53.00,72730000.0,5150000.0
,NGC 93,,SpiGal,Andromeda,5.513458,22.408083,14.34,13.28,1.06,1.380,0.562,48,No,0.00,0.00,5038.00,26.00,74310000.0,5220000.0
,NGC 71,,EllGal,Andromeda,4.598250,30.063250,14.20,13.18,1.02,1.230,1.071,105,No,0.00,0.00,6277.00,26.00,92590000.0,6490000.0
,NGC 7707,,EllGal,Andromeda,353.714157,44.304065,,14.80,,1.318,1.072,30,No,0.00,0.00,5250.00,40.00,77440000.0,5450000.0
,NGC 86,,SpiGal,Andromeda,5.369042,22.556417,,14.90,,1.033,0.455,10,No,0.00,0.00,5249.00,33.00,77420000.0,5440000.0
,NGC 22,,SpiGal,Andromeda,2.450792,27.832306,,14.90,,1.660,1.288,160,No,0.00,0.00,7976.00,24.00,117630000.0,8240000.0
,NGC 79,,EllGal,Andromeda,5.261864,22.566581,,14.90,,1.105,1.061,140,No,0.00,0.00,5143.00,34.00,75850000.0,5330000.0
,NGC 531,,SpiGal,Andromeda,21.578750,34.753889,,14.90,,1.862,0.479,34,No,0.00,0.00,4930.00,21.00,72720000.0,5100000.0
,IC 5370,,EllGal,Andromeda,0.038259,32.738393,,14.90,,0.963,0.771,120,No,0.00,0.00,9806.00,27.00,144630000.0,10130000.0
,NGC 228,,SpiGal,Andromeda,10.727126,23.503056,,14.90,,1.202,1.071,145,No,0.00,0.00,7062.00,23.00,104150000.0,7300000.0
,IC 1585,,EllGal,Andromeda,11.809568,23.053545,,14.90,,1.050,0.861,105,No,0.00,0.00,7016.00,36.00,103490000.0,7260000.0
,IC 1540,,SpiGal,Andromeda,4.953125,23.772611,,14.90,,0.955,0.389,30,No,0.00,0.00,5481.00,24.00,80850000.0,5670000.0
,NGC 732,,EllGal,Andromeda,29.115458,36.802222,,14.90,,1.413,1.023,10,No,0.00,0.00,5645.00,21.00,83260000.0,5840000.0
,NGC 85B,,SpiGal,Andromeda,5.370958,22.505861,,15.60,,0.872,0.235,125,No,0.00,0.00,5478.00,24.00,80790000.0,5670000.0
,NGC 85,,EllGal,Andromeda,5.356359,22.511777,,15.70,,0.920,0.865,165,No,0.00,0.00,5862.00,34.00,86460000.0,6070000.0
,IC 5376,,SpiGal,Andromeda,0.332375,34.525722,,14.70,,1.995,0.347,4,No,0.00,0.00,4706.00,23.00,69410000.0,4870000.0
,NGC 389,,SpiGal,Andromeda,17.124708,39.695444,,15.00,,1.288,0.427,54,No,0.00,0.00,5066.00,36.00,74710000.0,5260000.0
,NGC 72,,SpiGal,Andromeda,4.618208,30.040694,14.50,13.46,1.04,1.097,0.933,15,No,0.00,0.00,6931.00,25.00,102220000.0,7170000.0
,IC 1584,,SpiGal,Andromeda,11.827399,27.827657,,15.00,,1.585,1.381,95,No,0.00,0.00,4423.00,22.00,65240000.0,4580000.0
,IC 1542,,SpiGal,Andromeda,5.171625,22.592444,,15.00,,0.708,0.563,85,No,0.00,0.00,7023.00,24.00,103580000.0,7260000.0
,NGC 48,,SpiGal,Andromeda,3.509125,48.234861,,15.00,,1.413,0.913,15,No,0.00,0.00,1506.00,21.00,22210000.0,1580000.0
,NGC 109,,SpiGal,Andromeda,6.560983,21.807306,14.70,13.71,0.99,1.148,1.047,77,No,0.00,0.00,5230.00,24.00,77140000.0,5410000.0
,NGC 149,,EllGal,Andromeda,8.459417,30.723417,,15.00,,1.230,0.742,155,No,0.00,0.00,4523.00,37.00,66720000.0,4700000.0
,IC 1583,,EllGal,Andromeda,11.792912,23.073831,,15.00,,0.932,0.671,15,No,0.00,0.00,6940.00,33.00,102360000.0,7180000.0
,NGC 937,,SpiGal,Andromeda,37.367000,42.249972,,15.00,,1.072,0.513,117,No,0.00,0.00,5423.00,21.00,79990000.0,5610000.0
,NGC 258,,EllGal,Andromeda,12.053293,27.657203,,15.00,,0.785,0.487,115,No,0.00,0.00,5599.00,22.00,82580000.0,5790000.0
,NGC 912,,EllGal,Andromeda,36.428028,41.777436,,15.00,,0.952,0.742,165,No,0.00,0.00,4195.00,27.00,61870000.0,4350000.0
,NGC 913,,EllGal,Andromeda,36.436000,41.799417,,15.00,,0.983,0.531,20,No,0.00,0.00,4803.00,31.00,70840000.0,4980000.0
,IC 1799,,SpiGal,Andromeda,37.191311,45.970643,,15.00,,1.148,0.447,34,No,0.00,0.00,4730.00,14.00,69770000.0,4890000.0
,IC 1586,,EllGal,Andromeda,11.984667,22.372889,,14.90,,0.628,0.427,175,No,0.00,0.00,5493.00,24.00,81010000.0,5680000.0
,IC 1732,,SpiGal,Andromeda,27.699583,35.932750,,15.10,,1.478,0.389,62,No,0.00,0.00,4611.00,22.00,68010000.0,4770000.0
,IC 5372,,EllGal,Andromeda,0.067736,32.792618,,15.00,,0.813,0.781,5,No,0.00,0.00,10005.00,41.00,147560000.0,10350000.0
,IC 5371,,EllGal,Andromeda,0.061583,32.832000,,15.70,,0.705,0.479,155,No,0.00,0.00,9056.00,38.00,133580000.0,9370000.0
,IC 1550,,EllGal,Andromeda,6.115208,38.185639,,15.10,,1.043,0.876,125,No,0.00,0.00,5605.00,43.00,82670000.0,5820000.0
,NGC 72A,,EllGal,Andromeda,4.643125,30.036278,15.70,14.67,1.03,0.332,0.270,145,No,0.00,0.00,6387.00,34.00,94200000.0,6610000.0
,NGC 709,,EllGal,Andromeda,28.210917,36.223444,15.23,14.26,0.97,0.977,0.430,130,No,0.00,0.00,3322.00,20.00,49000000.0,3440000.0
,IC 1535,,SpiGal,Andromeda,3.488917,48.157972,,15.20,,1.460,0.409,170,No,0.00,0.00,4961.00,26.00,73170000.0,5140000.0
,IC 1534,,SpiGal,Andromeda,3.439326,48.151370,,15.20,,1.047,0.501,72,No,0.00,0.00,4953.00,24.00,73060000.0,5130000.0
,IC 1647,,SpiGal,Andromeda,18.310875,38.885278,,15.20,,0.930,0.428,40,No,0.00,0.00,5965.00,36.00,87980000.0,6180000.0
,IC 5369,,SpiGal,Andromeda,359.960583,32.702361,,15.30,,1.132,0.521,85,No,0.00,0.00,9758.00,25.00,143930000.0,10080000.0
,NGC 49,,EllGal,Andromeda,3.593446,48.246604,,15.30,,1.122,1.023,165,No,0.00,0.00,4504.00,31.00,66430000.0,4670000.0
,IC 5373,,EllGal,Andromeda,0.120042,32.782361,,15.30,,0.987,0.829,150,No,0.00,0.00,9476.00,38.00,139760000.0,9800000.0
,NGC 7449,,EllGal,Andromeda,344.906833,39.145861,,15.40,,1.023,0.741,130,No,0.00,0.00,4776.00,42.00,70450000.0,4970000.0
,NGC 542,,SpiGal,Andromeda,21.628750,34.675278,,15.40,,0.977,0.234,145,No,0.00,0.00,4396.00,20.00,64840000.0,4550000.0
,NGC 181,,EllGal,Andromeda,9.596708,29.472583,,15.40,,1.172,1.055,175,No,0.00,0.00,5247.00,24.00,77390000.0,5430000.0
,NGC 184,,SpiGal,Andromeda,9.649083,29.447611,,15.50,,0.725,0.186,10,No,0.00,0.00,4945.00,24.00,72930000.0,5120000.0
,NGC 700,,EllGal,Andromeda,28.070167,36.036722,,15.50,,0.892,0.708,35,No,0.00,0.00,4322.00,20.00,63740000.0,4470000.0
,IC 1541,,SpiGal,Andromeda,5.008155,21.999761,,15.50,,1.058,0.466,35,No,0.00,0.00,5649.00,35.00,83310000.0,5850000.0
,NGC 933,,SpiGal,Andromeda,37.322883,45.911319,,15.50,,1.288,0.871,35,No,0.00,0.00,4905.00,17.00,72350000.0,5070000.0
,IC 1536,,EllGal,Andromeda,3.579214,48.143288,,15.70,,0.995,0.776,150,No,0.00,0.00,4836.00,19.00,71320000.0,5000000.0
,NGC 7445,,SpiGal,Andromeda,344.843493,39.107533,,15.60,,1.098,0.483,85,No,0.00,0.00,4790.00,40.00,70650000.0,4980000.0
,IC 1548,,EllGal,Andromeda,5.479852,22.006317,,15.60,,1.112,0.889,65,No,0.00,0.00,5404.00,32.00,79700000.0,5600000.0
,NGC 920,,SpiGal,Andromeda,36.965750,45.947056,,15.60,,1.513,1.096,10,No,0.00,0.00,5996.00,18.00,88430000.0,6200000.0
,NGC 94,,EllGal,Andromeda,5.556375,22.483056,,15.60,,0.815,0.489,20,No,0.00,0.00,5568.00,24.00,82130000.0,5760000.0
,NGC 69,,EllGal,Andromeda,4.585448,30.039963,15.80,14.75,1.05,0.892,0.777,30,No,0.00,0.00,6353.00,33.00,93700000.0,6580000.0
,NGC 7446,,EllGal,Andromeda,344.870844,39.082880,,15.70,,1.335,1.282,110,No,0.00,0.00,5078.00,39.00,74900000.0,5270000.0
,NGC 74,,SpiGal,Andromeda,4.705583,30.061972,,15.70,,0.872,0.349,130,No,0.00,0.00,6761.00,33.00,99720000.0,7000000.0
,NGC 797b,,SpiGal,Andromeda,30.866427,38.116934,13.59,12.65,0.94,1.585,1.319,65,No,0.00,0.00,5414.00,17.00,79850000.0,5600000.0
,IC 1545,,EllGal,Andromeda,5.337118,21.983451,,15.70,,0.630,0.491,30,No,0.00,0.00,5295.00,36.00,78100000.0,5490000.0
,NGC 96,,EllGal,Andromeda,5.573792,22.546250,,15.70,,1.412,1.045,130,No,0.00,0.00,5843.00,32.00,86190000.0,6050000.0
,NGC 81,,SpiGal,Andromeda,5.305277,22.382896,,16.00,,0.628,0.402,80,No,0.00,0.00,5788.00,32.00,85360000.0,5990000.0
,NGC 67,,SpiGal,Andromeda,4.550792,30.055528,,16.00,,0.632,0.493,115,No,0.00,0.00,5888.00,32.00,86840000.0,6100000.0
,NGC 704A,,EllGal,Andromeda,28.166583,26.120944,15.50,14.01,1.49,0.325,0.228,105,No,0.00,0.00,4476.00,19.00,66020000.0,4630000.0
,NGC 272,,OC,Andromeda,12.850000,35.848333,,8.50,,2.100,1.500,0,No,0.00,0.00,0.00,0.00,0.0,0.0
,NGC 206,,OC,Andromeda,10.130414,40.739291,,4.00,,4.200,4.200,0,No,0.00,0.00,-301.00,1.00,770000.0,21298.2
,NGC 2997,,SpiGal,Antlia,146.411625,-31.191083,,10.89,,8.913,6.765,110,No,0.00,0.00,1405.00,22.00,20730000.0,1490000.0
,NGC 3223,,SpiGal,Antlia,155.396167,-34.266806,11.79,10.97,0.82,4.073,2.456,135,No,0.00,0.00,3215.00,23.00,47420000.0,3340000.0
,NGC 3250,,EllGal,Antlia,156.634500,-39.943944,12.18,11.13,1.05,2.818,2.041,148,No,0.00,0.00,3130.00,39.00,46160000.0,3280000.0
,NGC 3347,,SpiGal,Antlia,160.693958,-36.352667,12.17,11.29,0.88,3.630,2.087,173,No,0.00,0.00,3331.00,24.00,49130000.0,3460000.0
,NGC 3358,,SpiGal,Antlia,160.887583,-36.410694,12.29,11.39,0.90,3.312,1.861,141,No,0.00,0.00,3309.00,23.00,48800000.0,3430000.0
,NGC 3087,,EllGal,Antlia,149.786083,-34.225222,12.63,11.58,1.05,2.455,2.043,42,No,0.00,0.00,2987.00,30.00,44050000.0,3120000.0
,NGC 3095,,SpiGal,Antlia,150.024292,-31.552861,,11.16,,3.467,1.993,126,No,0.00,0.00,3045.00,23.00,44910000.0,3160000.0
,NGC 3038,,SpiGal,Antlia,147.814375,-32.752556,12.42,11.57,0.85,2.512,1.349,130,No,0.00,0.00,3105.00,22.00,45800000.0,3220000.0
,NGC 3258,,EllGal,Antlia,157.223208,-35.605528,12.49,11.48,1.01,2.883,2.454,75,No,0.00,0.00,3198.00,24.00,47170000.0,3320000.0
,NGC 3271,,SpiGal,Antlia,157.610375,-35.359500,12.86,11.77,1.09,3.090,1.820,106,No,0.00,0.00,4126.00,28.00,60850000.0,4280000.0
,NGC 3268,,EllGal,Antlia,157.502750,-35.325472,12.50,11.45,1.05,3.467,2.510,71,No,0.00,0.00,3122.00,31.00,46040000.0,3250000.0
,NGC 3001,,SpiGal,Antlia,146.577750,-30.437472,12.72,11.94,0.78,2.883,1.949,6,No,0.00,0.00,2782.00,23.00,41040000.0,2890000.0
,IC 2537,,SpiGal,Antlia,150.966208,-27.570861,12.78,12.09,0.69,2.570,1.737,26,No,0.00,0.00,3126.00,23.00,46100000.0,3250000.0
,NGC 3175,,SpiGal,Antlia,153.675458,-28.872056,12.13,11.23,0.90,5.012,1.348,56,No,0.00,0.00,1421.00,23.00,20960000.0,1510000.0
,NGC 3137,,SpiGal,Antlia,152.281167,-29.064306,12.10,11.50,0.60,6.310,2.240,1,No,0.00,0.00,1436.00,23.00,21180000.0,1520000.0
,NGC 3244,,SpiGal,Antlia,156.370167,-39.827556,12.89,12.28,0.61,2.042,1.513,170,No,0.00,0.00,3068.00,22.00,45250000.0,3180000.0
,NGC 3100,,EllGal,Antlia,150.170153,-31.664541,12.00,11.11,0.89,3.162,1.622,154,No,0.00,0.00,2964.00,30.00,43720000.0,3090000.0
,NGC 3108,,EllGal,Antlia,150.620958,-31.677417,12.78,11.75,1.03,2.512,1.819,110,No,0.00,0.00,2996.00,28.00,44180000.0,3120000.0
,NGC 3257,,EllGal,Antlia,157.196333,-35.658083,14.11,13.13,0.98,1.000,0.871,0,No,0.00,0.00,3557.00,27.00,52460000.0,3690000.0
,NGC 3275,,SpiGal,Antlia,157.715833,-36.736972,12.50,11.80,0.70,2.818,2.139,122,No,0.00,0.00,3528.00,46.00,52040000.0,3700000.0
,IC 2522,,SpiGal,Antlia,148.787333,-33.137139,,11.80,,2.755,1.995,180,No,0.00,0.00,3335.00,23.00,49180000.0,3460000.0
,NGC 3056,,EllGal,Antlia,148.637000,-28.298194,12.57,11.67,0.90,1.820,1.149,16,No,0.00,0.00,1300.00,23.00,19180000.0,1390000.0
,IC 2584,,SpiGal,Antlia,157.464542,-34.911639,13.60,12.67,0.93,1.995,0.447,133,No,0.00,0.00,2872.00,29.00,42360000.0,3000000.0
,IC 2533,,EllGal,Antlia,150.131958,-31.245000,12.95,11.98,0.97,1.820,1.318,1,No,0.00,0.00,2762.00,30.00,40740000.0,2890000.0
,NGC 3241,,SpiGal,Antlia,156.070667,-32.482611,,12.00,,2.238,1.549,123,No,0.00,0.00,3347.00,23.00,49370000.0,3470000.0
,NGC 3273,,EllGal,Antlia,157.621542,-35.610639,13.55,12.49,1.06,1.698,0.759,97,No,0.00,0.00,2981.00,24.00,43960000.0,3100000.0
,IC 2587,,EllGal,Antlia,157.748333,-34.562944,13.30,12.32,0.98,2.042,1.513,10,No,0.00,0.00,2435.00,29.00,35920000.0,2550000.0
,NGC 3449,,SpiGal,Antlia,163.223583,-32.927611,12.96,12.19,0.77,3.312,0.954,148,No,0.00,0.00,3609.00,24.00,53230000.0,3740000.0
,NGC 3125,,EllGal,Antlia,151.639050,-29.934861,13.50,13.00,0.50,1.122,0.725,114,No,0.00,0.00,1442.00,24.00,21260000.0,1530000.0
,IC 2511,,SpiGal,Antlia,147.352292,-32.839194,,13.00,,2.883,0.577,38,No,0.00,0.00,3222.00,23.00,47520000.0,3340000.0
,NGC 3278,,SpiGal,Antlia,157.897458,-39.954639,,13.00,,1.318,0.933,62,No,0.00,0.00,3268.00,42.00,48200000.0,3430000.0
,NGC 3224,,EllGal,Antlia,155.421625,-34.696778,12.99,12.00,0.99,1.905,1.549,133,No,0.00,0.00,3409.00,29.00,50280000.0,3550000.0
,NGC 3084,,SpiGal,Antlia,149.776750,-27.128806,,13.20,,1.698,1.230,2,No,0.00,0.00,2874.00,25.00,42390000.0,2990000.0
,NGC 3354,,EllGal,Antlia,160.762250,-36.362389,13.72,13.20,0.52,0.813,0.661,4,No,0.00,0.00,3320.00,24.00,48970000.0,3450000.0
,NGC 3250E,,SpiGal,Antlia,157.252917,-40.082806,,13.20,,2.090,1.413,142,No,0.00,0.00,3109.00,22.00,45850000.0,3230000.0
,IC 2531,,SpiGal,Antlia,149.982375,-29.616972,12.90,12.01,0.89,6.918,0.560,75,No,0.00,0.00,2799.00,23.00,41280000.0,2910000.0
,IC 2580,,SpiGal,Antlia,157.074917,-31.518028,13.20,12.54,0.66,1.862,1.737,153,No,0.00,0.00,3471.00,23.00,51190000.0,3600000.0
,IC 2513,,SpiGal,Antlia,147.503292,-32.882833,,12.50,,1.548,0.302,61,No,0.00,0.00,3183.00,23.00,46950000.0,3300000.0
,NGC 2891,,EllGal,Antlia,141.735958,-24.783028,13.51,12.64,0.87,1.513,1.412,177,No,0.00,0.00,2703.00,27.00,39860000.0,2820000.0
,IC 2560,,SpiGal,Antlia,154.077985,-33.563795,,11.28,,3.162,1.995,45,No,0.00,0.00,3248.00,23.00,47900000.0,3370000.0
,NGC 3089,,SpiGal,Antlia,149.902833,-28.331361,,12.50,,1.778,1.048,139,No,0.00,0.00,3038.00,25.00,44800000.0,3160000.0
,NGC 3267,,SpiGal,Antlia,157.452458,-35.322389,,13.35,,1.820,1.098,148,No,0.00,0.00,4030.00,40.00,59450000.0,4200000.0
,NGC 3113,,SpiGal,Antlia,151.108792,-28.444028,,12.80,,3.312,1.202,87,No,0.00,0.00,1414.00,23.00,20860000.0,1500000.0
,IC 2534,,EllGal,Antlia,150.374417,-34.112417,,12.80,,2.188,1.821,88,No,0.00,0.00,3115.00,50.00,45940000.0,3300000.0
,IC 2552,,EllGal,Antlia,152.692250,-34.844694,,12.80,,1.622,1.479,95,No,0.00,0.00,3326.00,25.00,49060000.0,3450000.0
,NGC 3347A,,SpiGal,Antlia,160.085875,-36.411111,,12.80,,1.995,0.742,5,No,0.00,0.00,3052.00,25.00,45020000.0,3170000.0
,NGC 3378,,SpiGal,Antlia,161.680292,-40.016028,,12.80,,1.513,1.412,96,No,0.00,0.00,5495.00,29.00,81050000.0,5690000.0
,NGC 3082,,SpiGal,Antlia,149.721125,-30.357694,,12.80,,1.820,0.661,26,No,0.00,0.00,3188.00,29.00,47030000.0,3320000.0
,NGC 3302,,SpiGal,Antlia,158.947625,-32.358500,,12.80,,1.660,1.230,118,No,0.00,0.00,4406.00,29.00,64990000.0,4570000.0
,NGC 3269,,SpiGal,Antlia,157.487750,-35.224389,,13.51,,2.512,1.148,8,No,0.00,0.00,4076.00,40.00,60110000.0,4250000.0
,NGC 3120,,SpiGal,Antlia,151.346000,-34.219944,13.52,12.78,0.74,1.778,1.259,1,No,0.00,0.00,3105.00,22.00,45800000.0,3220000.0
,NGC 3173,,SpiGal,Antlia,153.645292,-27.692833,,12.90,,2.090,1.739,7,No,0.00,0.00,2857.00,24.00,42140000.0,2970000.0
,IC 2523,,SpiGal,Antlia,148.789667,-33.210222,,13.10,,1.318,0.777,25,No,0.00,0.00,2931.00,23.00,43230000.0,3050000.0
,NGC 3258A,,SpiGal,Antlia,157.079833,-35.454472,14.10,13.18,0.92,1.148,0.467,169,No,0.00,0.00,3093.00,27.00,45610000.0,3220000.0
,IC 2526,,SpiGal,Antlia,149.262625,-32.256861,,13.10,,2.090,0.692,55,No,0.00,0.00,3082.00,29.00,45460000.0,3210000.0
,IC 2588,,SpiGal,Antlia,157.958917,-30.384528,,13.10,,1.413,1.176,150,No,0.00,0.00,3855.00,26.00,56870000.0,4000000.0
,NGC 3037,,SpiGal,Antlia,147.850083,-27.011111,,13.10,,1.230,1.071,44,No,0.00,0.00,731.00,21.00,10780000.0,760000.0
,IC 2582,,SpiGal,Antlia,157.295833,-30.342500,,13.10,,1.413,1.122,176,No,0.00,0.00,4496.00,24.00,66320000.0,4660000.0
,NGC 2904,,EllGal,Antlia,142.570833,-30.385028,13.43,12.37,1.06,1.478,0.977,90,No,0.00,0.00,2649.00,38.00,39070000.0,2790000.0
,NGC 3347B,,SpiGal,Antlia,160.499265,-36.935341,,13.10,,3.237,0.757,95,No,0.00,0.00,3503.00,24.00,51670000.0,3630000.0
,NGC 3249,,SpiGal,Antlia,156.592542,-34.963694,,13.20,,1.585,1.289,139,No,0.00,0.00,3728.00,23.00,54980000.0,3860000.0
,IC 2548,,SpiGal,Antlia,151.978958,-35.229611,,13.20,,1.950,1.738,65,No,0.00,0.00,4718.00,23.00,69590000.0,4880000.0
,NGC 3333,,SpiGal,Antlia,159.957625,-36.036167,13.93,13.19,0.74,1.995,0.355,160,No,0.00,0.00,4480.00,23.00,66080000.0,4640000.0
,IC 2532,,SpiGal,Antlia,150.022500,-34.228278,,13.20,,1.585,1.289,38,No,0.00,0.00,3137.00,24.00,46270000.0,3260000.0
,NGC 3157,,SpiGal,Antlia,152.926792,-31.642861,,13.30,,2.455,0.525,38,No,0.00,0.00,3162.00,23.00,46640000.0,3280000.0
,NGC 3258D,,SpiGal,Antlia,157.982208,-35.409806,,13.30,,1.622,0.892,5,No,0.00,0.00,2798.00,28.00,41260000.0,2920000.0
,NGC 3281,,SpiGal,Antlia,157.967042,-34.853694,12.70,11.72,0.98,3.312,1.659,140,No,0.00,0.00,3523.00,31.00,51970000.0,3670000.0
,IC 2539,,SpiGal,Antlia,151.067542,-31.362944,,13.30,,1.905,0.478,25,No,0.00,0.00,358.00,23.00,46580000.0,3280000.0
,NGC 3289,,SpiGal,Antlia,158.530958,-35.323389,13.44,12.51,0.93,2.238,0.562,153,No,0.00,0.00,3076.00,24.00,45370000.0,3200000.0
,NGC 3250C,,SpiGal,Antlia,156.926958,-40.002583,,14.23,,1.778,0.550,56,No,0.00,0.00,2921.00,45.00,43080000.0,3090000.0
,IC 2556,,SpiGal,Antlia,153.156792,-34.728861,,13.18,,2.042,1.000,108,No,0.00,0.00,2825.00,23.00,41670000.0,2940000.0
,NGC 3281C,,SpiGal,Antlia,158.248125,-34.886222,,13.20,,1.413,0.303,160,No,0.00,0.00,3103.00,29.00,45760000.0,3230000.0
,NGC 3250D,,SpiGal,Antlia,156.991417,-39.814778,,13.30,,1.738,0.275,29,No,0.00,0.00,3209.00,34.00,47320000.0,3350000.0
,NGC 3260,,EllGal,Antlia,157.276625,-35.595194,13.71,12.65,1.06,1.230,0.955,2,No,0.00,0.00,2736.00,39.00,40360000.0,2880000.0
,IC 2559,,SpiGal,Antlia,153.689125,-34.058806,,13.40,,1.698,0.708,18,No,0.00,0.00,3308.00,23.00,48790000.0,3430000.0
,NGC 3281A,,EllGal,Antlia,157.992841,-35.198495,,13.40,,1.230,0.977,123,No,0.00,0.00,2611.00,29.00,38510000.0,2730000.0
,NGC 3276,,EllGal,Antlia,157.788333,-39.944667,,13.40,,1.047,0.562,74,No,0.00,0.00,5021.00,5.00,74050000.0,5240000.0
,IC 2558,,SpiGal,Antlia,153.683917,-34.338722,14.30,13.72,0.58,1.175,0.676,13,No,0.00,0.00,2908.00,23.00,42890000.0,3020000.0
,IC 2536,,SpiGal,Antlia,150.875917,-33.949750,,13.50,,1.905,0.436,45,No,0.00,0.00,3046.00,24.00,44300000.0,3170000.0
,NGC 3258C,,SpiGal,Antlia,157.850625,-35.220472,,13.50,,1.175,0.871,48,No,0.00,0.00,2919.00,29.00,43060000.0,3050000.0
,IC 2538,,SpiGal,Antlia,150.985375,-34.807528,,13.80,,1.513,0.776,1,No,0.00,0.00,9414.00,24.00,138850000.0,9730000.0
,NGC 3281D,,SpiGal,Antlia,158.579250,-34.403417,,13.80,,2.042,0.408,160,No,0.00,0.00,2969.00,25.00,43790000.0,3090000.0
,IC 2576,,SpiGal,Antlia,156.495750,-32.903472,,13.80,,0.795,0.662,36,No,0.00,0.00,9673.00,28.00,142660000.0,9990000.0
,NGC 3347C,,SpiGal,Antlia,160.223708,-36.287917,,14.00,,1.513,1.202,20,No,0.00,0.00,2976.00,23.00,43890000.0,3090000.0
,IC 2578,,SpiGal,Antlia,156.844542,-33.877333,,14.00,,1.478,0.282,141,No,0.00,0.00,4224.00,23.00,62300000.0,4370000.0
,NGC 3051,,EllGal,Antlia,148.494333,-27.286333,,14.00,,2.090,1.950,33,No,0.00,0.00,2881.00,27.00,42500000.0,3000000.0
,NGC 3281B,,EllGal,Antlia,157.967333,-35.204861,,14.00,,0.947,0.776,50,No,0.00,0.00,2745.00,50.00,40490000.0,2930000.0
,IC 2573,,SpiGal,Antlia,155.875750,-35.455583,,14.50,,1.513,0.347,2,No,0.00,0.00,4488.00,24.00,66200000.0,4650000.0
,NGC 3258E,,SpiGal,Antlia,158.103792,-34.998361,,14.50,,1.585,0.339,27,No,0.00,0.00,3381.00,25.00,49870000.0,3510000.0
,IC 2517,,EllGal,Antlia,148.211125,-33.741944,,14.80,,0.680,0.560,98,No,0.00,0.00,2863.00,38.00,42230000.0,3010000.0
,NGC 3258B,,SpiGal,Antlia,157.605417,-35.563556,,14.80,,1.242,0.522,60,No,0.00,0.00,2398.00,23.00,35370000.0,2500000.0
,IC 2510,,SpiGal,Antlia,146.931167,-32.837444,,14.90,,1.258,0.676,148,No,0.00,0.00,3115.00,24.00,45940000.0,3240000.0
,IC 2563,,SpiGal,Antlia,154.716375,-32.596556,,15.10,,1.097,0.468,106,No,0.00,0.00,1278.00,26.00,18850000.0,1330000.0
,IC 2546,,SpiGal,Antlia,151.774684,-33.261352,,15.10,,0.810,0.590,95,No,0.00,0.00,,,,
,NGC 3250A,,SpiGal,Antlia,156.973875,-40.081333,,15.10,,1.230,0.219,89,No,0.00,0.00,7688.00,50.00,113390000.0,7970000.0
,IC 2492,,SpiGal,Antlia,143.311958,-37.866333,,15.20,,1.203,0.818,35,No,0.00,0.00,2832.00,36.00,41770000.0,2970000.0
,IC 2575,,SpiGal,Antlia,156.350000,-32.636250,,15.20,,0.912,0.602,125,No,0.00,0.00,17634.00,50.00,260090000.0,18220000.0
,IC 2570,,SpiGal,Antlia,155.392917,-33.623222,,15.50,,1.132,0.566,170,No,0.00,0.00,17590.00,50.00,259440000.0,18180000.0
,IC 2507,,SpiGal,Antlia,146.141250,-31.790000,,13.17,,1.660,0.813,43,No,0.00,0.00,1564.00,22.00,23070000.0,1650000.0
,IC 4499,,GC,Apus,225.077375,-82.213778,,8.56,,10.200,10.200,0,No,0.47,-0.49,38.70,0.50,18518.5,3772.3
